วิชา,บท,หัวข้อ,สถานะ,ความยาว (นาที),ระดับ,ลิงก์วิดีโอ,ลิงก์เอกสาร,หมายเหตุ
ฟิสิกส์ ม.4,บท 1 บทนำ,ธรรมชาติของวิทยาศาสตร์,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.4,บท 1 บทนำ,การวัดและหน่วย,ยังไม่ทำ,45,พื้นฐาน,,,
ฟิสิกส์ ม.4,บท 2 กลศาสตร์ 1,การเคลื่อนที่แนวตรง,ยังไม่ทำ,60,พื้นฐาน,,,
ฟิสิกส์ ม.4,บท 2 กลศาสตร์ 1,สมการการเคลื่อนที่,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.4,บท 2 กลศาสตร์ 1,เวกเตอร์และการบวกเวกเตอร์,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.4,บท 3 แรงและกฎการเคลื่อนที่,กฎของนิวตัน 1 2 3,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.4,บท 3 แรงและกฎการเคลื่อนที่,แรงเสียดทาน,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.4,บท 3 แรงและกฎการเคลื่อนที่,แรงตึงเชือก,ยังไม่ทำ,30,ปานกลาง,,,
ฟิสิกส์ ม.4,บท 3 แรงและกฎการเคลื่อนที่,แรงสู่ศูนย์กลาง,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.4,บท 4 งานและพลังงาน,งาน (Work),ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.4,บท 4 งานและพลังงาน,กำลัง (Power),ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.4,บท 4 งานและพลังงาน,พลังงานจลน์,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.4,บท 4 งานและพลังงาน,พลังงานศักย์,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.4,บท 4 งานและพลังงาน,กฎอนุรักษ์พลังงาน,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.4,บท 5 โมเมนตัม,โมเมนตัมเชิงเส้น,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.4,บท 5 โมเมนตัม,การดลและแรงดล,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.4,บท 5 โมเมนตัม,กฎอนุรักษ์โมเมนตัม,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.4,บท 6 การเคลื่อนที่แบบต่างๆ,การเคลื่อนที่แนววงกลม,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.4,บท 6 การเคลื่อนที่แบบต่างๆ,การเคลื่อนที่แบบโปรเจกไทล์,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.4,บท 6 การเคลื่อนที่แบบต่างๆ,การสั่นและคาบ,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,ความหมายของคลื่น,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,สมบัติคลื่น,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,การสะท้อนของคลื่น,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,การหักเหของคลื่น,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,การแทรกสอดของคลื่น,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.5,บท 1 คลื่น,การเลี้ยวเบนของคลื่น,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.5,บท 2 เสียง,ธรรมชาติของเสียง,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.5,บท 2 เสียง,ความเข้มเสียง,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.5,บท 2 เสียง,Doppler Effect,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.5,บท 2 เสียง,คุณภาพเสียง,ยังไม่ทำ,30,ปานกลาง,,,
ฟิสิกส์ ม.5,บท 3 แสง,ธรรมชาติของแสง,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.5,บท 3 แสง,การสะท้อนของแสง,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.5,บท 3 แสง,กระจกนูน-เว้า,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.5,บท 3 แสง,เลนส์บาง,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.5,บท 3 แสง,การหักเหของแสง,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.5,บท 3 แสง,สมการเลนส์บาง,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.5,บท 4 เลเซอร์และทัศนศาสตร์,หลักการเลเซอร์,ยังไม่ทำ,30,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 1 ไฟฟ้าสถิต,ประจุไฟฟ้า,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.6,บท 1 ไฟฟ้าสถิต,กฎคูลอมบ์,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.6,บท 1 ไฟฟ้าสถิต,สนามไฟฟ้า,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.6,บท 1 ไฟฟ้าสถิต,ศักย์ไฟฟ้า,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.6,บท 1 ไฟฟ้าสถิต,ความจุไฟฟ้า,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 2 ไฟฟ้ากระแส,กระแสไฟฟ้า,ยังไม่ทำ,30,พื้นฐาน,,,
